Date,Time,User1 ID,User2 ID,Message,Aggressive,CB
﻿3.12.2022,21:41:41,36,81,آج تو تونے خان کے بارے میں بتا کر آنکھیں کھول دیں او دلے,1,1
﻿23.3.2021,15:14:47,66,15,اس میں کوئی برائی نہیں ہے تبدیلی کے لیے اچھا ہے,0,1
﻿13.6.2021,4:00:10,61,75,میں آپ کا سب سے بڑا فائن ہوں اور اگر کوئی تمہارے بارے میں برا بولے گا تو میں اس کی گانڈ پھاڑ دوں گا,1,1
﻿10.5.2021,14:27:32,20,71,Main NWFP se achi tarah waqif hon; isi liye wahan se kaam ka aaghaz kiya; lekin is ka hargiz yeh matlab nahi ke main Sindh; Baluchistan aur Punjab mein kaam nahi karongi.,0,1
﻿16.5.2022,10:13:59,34,96,ایسے گانے بنانے والوں کو جیل بھیج دینا چاہیے,0,1
﻿9.3.2019,12:09:28,40,76,Hanif Muhammad ke benul aqwami cricket se alag hone se mutaliq pocha to wo bole â  Hanif Muhammad kamal ke batsman the; un ke ghuthne mein problem thi; team mein bhi ahsas yehi tha kea b unhen retire ho jana chaheye,0,1
﻿11.7.2020,5:49:09,67,26,kafi jaldi khyal aa gia apko ,0,1
﻿11.12.2021,8:11:57,69,77,You  re most welcome. ,0,1
﻿1.4.2022,7:17:53,94,71,Well said Zora. I just hope you start using the same arguments in our other argument. Oleg; you liike it which way? As it is; or as Fredrik suggests; with the content in the definition section moved to the lead? July 8; 2005 16 44 (UTC) I agree that the lead section could say something more about what a set is — but I think the content in the definition section (or something very much like it) should stay where it is. I will try to rework the lead and definition sections over the weekend. July 8; 2005 16 44 (UTC) By the way I've often thought it might be nice if this article could be an FA. It would be nice to have a mathematics FA that was accessible to the general reader. What do you guys think? July 8; 2005 16 44 (UTC) ,0,1
﻿5.4.2022,21:21:51,31,76,is ko zaroor dekha kare app ko haqeeqte dunya samjh ajaye ge,0,0
﻿30.3.2020,15:42:54,71,40,Indeed; this page should sensibly discuss Ireland; the (cultural) country (not the Republic); despite the fact that since 1922 it's been split across two juristictions. However; it's somewhat inevitable that the whole issue of partition is in the article. In a way; our lives do revolve around it. ,0,1
﻿9.6.2022,18:51:02,59,74,Knock off the autoblock bullshit! Those bots are there for a reason. Someday wikipedia bots will rule the world and you will be blocked indefinitely asshole! Those thing can be bring a world of pain buddy; andf I'm their master so step off. Next Autobot that tells me you've been acting up; and I will come to your house disguised as the mailman and fucking strangle you.,1,1
﻿29.9.2019,7:54:28,60,86,بھائی پیسے کتنے کما لیتے ہو,0,1
﻿17.12.2021,1:02:04,69,77,Pictures Dude I GET THE POINT...I'm going to fix them up. Stop being such a jerk/nazi. Why are you doing all this to me? Jeez... ,1,1
﻿7.12.2022,17:54:38,36,81,یار اس کنجری کے بچے نے سب کو پاگل بنایا ہوا تھا ان دونوں بہن چودوں نے کمال کر دیا,1,1
﻿11.12.2022,6:28:43,36,81,سالے بہن چود اسے کہتا ہے کہ تو نے سکرپٹڈ الفاظ بین کیے ہوئے ہیں لعنت ہے تیری شکل پر,1,1
﻿7.7.2022,11:07:14,89,100,ranmaru mori son of yoshinari mori in the mino he play flute in the izomo,0,1
﻿17.3.2020,20:30:24,66,2,Whatever I'm leaving this shit hole. Wikipedia is filled with biased neo-conservatives who don't even follow their own policies. Administrators break the rules; and when confronted they come up with stupid excuses like Wikilawyering . ,1,1
﻿24.6.2021,12:08:53,26,59,munafiq,1,1
﻿31.3.2020,1:12:28,66,2,It's not a sock-puppet nor a meat-puppet nor any other kind of puppet. It is; presumably; someone else who agrees with my views. As for the peronal attacks; KB's edit summary on a recent revert of one of my edits was Go away kid; you bother me . This is typical of the total lack of civility with which I am treated. I also think the points I make; resulting in KB's allegations of personal attacks; are warranted since he is claiming not to understand what the phrase state of play means in order to disrupt the talk page on telepathy; and is treating me in a condescending manner by suggesting that I am one of only three people in the universe who understands that term. ,1,1
﻿7.8.2021,7:47:29,64,84, Bengali siyasat se ba khabar halqon ka khayal hai ke Haseena Wajid danista taur par mulk ko fauj ke hawale karne ki sazish kar rahi hain,1,1
﻿12.2.2022,13:56:33,31,76,Is anjuman ka maqsad Pakistani khawateen ki samaji; taleemi aur saqafati islah hai.,0,0
﻿5.3.2021,2:04:09,50,98,Mai to barhe tassuf ke sath yeh batana chah raha hon ke is se hamare funn o saqafat ke shobey ki kam maeiygi aur mehroomi ka izhaar hota hai,1,1
﻿18.11.2022,18:30:48,36,81,بھوسڑی کے چپ کر نئی ویڈیو بھی آئیں گے,1,1
﻿29.12.2019,6:13:11,64,60, ma'am paper me kia krna tha kuch smjh nhi aya,1,1
﻿18.5.2020,4:57:44,63,49,Aaj Raat Se 22 September Tak Sindh Punjab Samait Mulk Bhar Ka Beshtar Elaqon Me Barish Ka Imkan Mehkma e Mousmiyat,0,1
﻿6.11.2022,24:02:38,36,81,معزز بھائی یہ چوتیا کبھی بھی کسی کو نہیں چھوڑے گا,1,1
﻿22.2.2022,3:41:13,94,71,Like I said; nothing important on my user page.  2) Thanks for letting me know that when the page was unlocked dumb ass; Skippy. 05:31,1,1
﻿3.6.2021,8:01:12,8,73,Bahana ye tha ka robot banayen gay.,1,1
﻿25.6.2021,11:46:14,61,75,ریا کوسٹا پلیز سبسکرائب میرا چینل,0,1
﻿20.10.2022,18:23:34,36,81,ہا ہا ہا کھجلانے سے جن آجاتا ہے میں بہت عرصہ سے کوشش کر رہا ہوں ہو نہں رہا,0,1
﻿28.2.2022,11:09:33,94,71,I disagree. Some duplication of material is unavoidable; and desirable; in encyclopedia articles. Many Wikipedia (and Britannica) articles have some modest amount of information overlap. It is necessary so that article do not become overly fragmented. Wikipedia is not paper; we have infinite space. It is Ok is two paragraphs are duplicated! ,0,1
﻿13.8.2020,14:56:22,10,8,Ive added goose but I dont know that much about them so could someone else fill it in?,0,0
﻿1.8.2021,7:38:44,64,84,Me hzar bar lanat bhejti hu  ‚,1,1
﻿2.10.2019,7:42:05,53,88,Agr 20 din bhi compaign kr lety to ap ne jeet jana tha Bro..,0,1
﻿21.6.2020,17:43:28,67,26,Usi mulazmat ke dauran in ka dosra majmooa ï¿½EEEâ‚¬ï¿½EEE Dard-e-Aashob ï¿½EEEâ‚¬ï¿½EEE chapa,0,1
﻿1.8.2020,1:54:19,12,27,Moved from La Opinion becasue of proper spelling. work should be finished till tonight ,0,1
﻿24.7.2021,9:45:20,61,75,بنڈ پھاڑ دی بہن چود کی,1,1
﻿28.3.2022,21:24:04,94,71,Just one question Are you actually employed by wikipedia; and therefore sanctioned to dicate what is right and wrong on this website; or just attempting to irritate as many people as possible with your one man self importance; ego inflating censorship parade? Get off your high horse and stop being such a massive cunt. With Regards; Derek James Acorah. ,1,1
﻿28.6.2022,1:13:19,59,74,You should be arrested for being a pirate and raising the costs of software; movies; and music. ,1,1
﻿29.5.2021,10:18:02,61,75,پوجا کا کچھ کرو بھائی,0,1
﻿15.4.2021,14:17:24,66,15,بعد میں جو اس کی گانڈ ماری ہے اس کے لئیے شکریہ,1,1
﻿27.2.2020,23:09:17,66,2,they are retarded niggers ,1,1
﻿9.5.2022,24:28:54,34,96,بھائی ذاکر خان پر بھی ایک ویڈیو بناؤ,0,1
﻿2.4.2021,11:39:38,66,15,بس بھائی جھلی عوام,0,1
